R002--R180 0.92729 4--6 	0.96828 1--7 	0.97208 9--2
R002--R181 1.48622 11--7 	1.52237 7--11 	1.57831 3--1
R180--R181 1.31668 6--11 	1.35450 3--2 	1.45965 7--3
R012--R046 0.95072 9--11 	0.95119 6--11 	0.96375 7--11
R016--R092 1.19910 12--10 	1.27596 12--3 	1.34096 7--3
R018--R120 1.33270 3--7 	1.49281 3--6 	1.54768 11--6
R018--R121 0.94375 5--5 	1.00346 3--3 	1.04912 2--6
R120--R121 1.35334 7--6 	1.39561 7--5 	1.42971 12--6
R030--R140 0.99606 10--3 	1.06673 7--5 	1.07790 7--3
R141--R140 0.05914 7--7 	0.06265 4--6 	0.07508 7--4
R030--R141 1.01996 5--7 	1.04821 2--7 	1.07795 7--10
R067--R118 0.68995 11--8 	0.69546 9--2 	0.69616 8--2
R067--R119 0.82907 12--12 	0.83921 11--3 	0.86223 10--4
R118--R119 0.66781 8--2 	0.68657 2--11 	0.69356 6--11
R069--R070 0.74697 1--7 	0.75117 1--6 	0.88272 12--3
R071--R232 0.79247 12--9 	0.80738 12--7 	0.82304 9--3
R233--R232 0.79247 12--9 	0.80738 12--7 	0.82304 9--3
R071--R233 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R073--R074 1.06720 8--2 	1.09418 13--9 	1.14276 2--8
R073--R075 1.14984 2--9 	1.17304 4--12 	1.17891 8--1
R073--R124 0.03689 8--6 	0.05486 7--7 	0.06037 4--4
R073--R125 1.14984 2--9 	1.17304 4--12 	1.17891 8--1
R073--R195 1.14984 2--9 	1.17304 4--12 	1.17891 8--1
R073--R196 1.06720 8--2 	1.09418 13--9 	1.14276 2--8
R074--R075 0.68302 4--1 	0.69165 2--1 	0.72917 3--1
R074--R124 1.17785 5--12 	1.19788 1--8 	1.25104 1--6
R074--R125 0.68302 4--1 	0.69165 2--1 	0.72917 3--1
R074--R195 0.68302 4--1 	0.69165 2--1 	0.72917 3--1
R074--R196 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R075--R124 1.13290 4--13 	1.14354 6--4 	1.21421 11--13
R075--R125 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R075--R195 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R075--R196 0.71004 1--2 	0.71710 7--9 	0.74637 1--9
